worker_id,worker_name,worker_type,home_sigungu_code,sido_name,sigungu_name,status,availability_status,travel_distance_km,travel_time_hour,battery_percent,battery_context
FR88719,오서연,현장요원,11010,,,복귀,복귀 중,11.73,1.3,64.0,현장 단말/장비 배터리
PR41061,최도윤,방제요원,11010,,,복귀,복귀 중,10.2,1.6,87.0,현장 단말/장비 배터리
DR47104,박수아,드론요원,11010,,,현장,업무 중,7.15,0.95,100.0,드론 배터리
DR62948,서민서,드론요원,11020,,,출동,이동 중,24.74,3.62,57.0,드론 배터리
FR56140,서수아,현장요원,11020,,,현장,업무 중,37.56,5.33,76.0,현장 단말/장비 배터리
PR92611,한채원,방제요원,11020,,,현장,업무 중,5.28,1.0,81.0,현장 단말/장비 배터리
DR11287,강지아,드론요원,11030,,,대기,즉시 가용,15.88,1.87,60.0,드론 배터리
FR83899,한채원,현장요원,11030,,,출동,이동 중,32.51,3.71,66.0,현장 단말/장비 배터리
PR71880,오준우,방제요원,11030,,,출동,이동 중,23.14,4.48,95.0,현장 단말/장비 배터리
PR89557,장서현,방제요원,11040,,,복귀,복귀 중,32.35,4.96,44.0,현장 단말/장비 배터리
FR78126,이수아,현장요원,11040,,,복귀,복귀 중,49.78,8.0,48.0,현장 단말/장비 배터리
DR48399,황서연,드론요원,11040,,,대기,즉시 가용,40.58,7.42,92.0,드론 배터리
DR20158,최수아,드론요원,11050,,,대기,즉시 가용,18.78,3.3,50.0,드론 배터리
PR95460,황현우,방제요원,11050,,,대기,즉시 가용,11.79,1.72,61.0,현장 단말/장비 배터리
FR10730,한수아,현장요원,11050,,,복귀,복귀 중,13.41,1.62,71.0,현장 단말/장비 배터리
PR80463,윤도현,방제요원,11060,,,대기,즉시 가용,6.58,1.06,47.0,현장 단말/장비 배터리
DR37696,서지호,드론요원,11060,,,출동,이동 중,49.61,7.79,46.0,드론 배터리
FR64446,오수아,현장요원,11060,,,복귀,복귀 중,49.79,5.1,36.0,현장 단말/장비 배터리
PR38369,정서현,방제요원,11070,,,출동,이동 중,14.0,1.77,42.0,현장 단말/장비 배터리
FR43390,오도현,현장요원,11070,,,대기,즉시 가용,28.06,4.61,49.0,현장 단말/장비 배터리
DR85452,서현우,드론요원,11070,,,복귀,복귀 중,38.6,6.15,35.0,드론 배터리
DR73556,최도현,드론요원,11080,,,출동,이동 중,2.11,0.27,44.0,드론 배터리
PR82476,신지호,방제요원,11080,,,대기,즉시 가용,36.67,7.11,49.0,현장 단말/장비 배터리
FR40059,강도현,현장요원,11080,,,현장,업무 중,14.51,1.69,47.0,현장 단말/장비 배터리
DR72495,권채원,드론요원,11090,,,출동,이동 중,28.16,4.63,42.0,드론 배터리
FR60123,임민서,현장요원,11090,,,현장,업무 중,0.86,0.13,50.0,현장 단말/장비 배터리
PR39368,최건우,방제요원,11090,,,출동,이동 중,28.89,2.96,98.0,현장 단말/장비 배터리
PR94832,장서연,방제요원,11100,,,현장,업무 중,13.75,2.03,87.0,현장 단말/장비 배터리
DR84996,장서연,드론요원,11100,,,복귀,복귀 중,41.17,7.67,60.0,드론 배터리
FR22334,임현우,현장요원,11100,,,대기,즉시 가용,45.55,8.0,64.0,현장 단말/장비 배터리
FR81557,서서연,현장요원,11110,,,현장,업무 중,34.88,3.87,60.0,현장 단말/장비 배터리
DR81707,정지호,드론요원,11110,,,대기,즉시 가용,40.84,5.43,96.0,드론 배터리
PR54308,김서연,방제요원,11110,,,대기,즉시 가용,21.07,2.53,97.0,현장 단말/장비 배터리
DR17970,이민서,드론요원,11120,,,대기,즉시 가용,47.59,8.0,32.0,드론 배터리
PR95799,윤서현,방제요원,11120,,,현장,업무 중,1.93,0.33,56.0,현장 단말/장비 배터리
FR92619,정민서,현장요원,11120,,,대기,즉시 가용,8.72,1.63,83.0,현장 단말/장비 배터리
PR72320,정하은,방제요원,11130,,,출동,이동 중,43.73,5.79,46.0,현장 단말/장비 배터리
FR10350,조하은,현장요원,11130,,,출동,이동 중,39.17,7.79,44.0,현장 단말/장비 배터리
DR97142,권수아,드론요원,11130,,,대기,즉시 가용,23.58,3.07,97.0,드론 배터리
PR60246,강서현,방제요원,11140,,,복귀,복귀 중,29.01,4.11,53.0,현장 단말/장비 배터리
DR91117,조민준,드론요원,11140,,,대기,즉시 가용,11.21,1.8,64.0,드론 배터리
FR47802,강도현,현장요원,11140,,,복귀,복귀 중,0.17,0.03,97.0,현장 단말/장비 배터리
FR70749,황도현,현장요원,11150,,,복귀,복귀 중,35.31,6.23,49.0,현장 단말/장비 배터리
PR27501,정현우,방제요원,11150,,,복귀,복귀 중,19.99,2.65,36.0,현장 단말/장비 배터리
DR55464,서도윤,드론요원,11150,,,대기,즉시 가용,24.42,4.25,75.0,드론 배터리
FR87483,강현우,현장요원,11160,,,대기,즉시 가용,31.33,3.2,42.0,현장 단말/장비 배터리
DR50696,조예준,드론요원,11160,,,현장,업무 중,2.67,0.46,46.0,드론 배터리
PR70338,조채원,방제요원,11160,,,현장,업무 중,4.06,0.7,31.0,현장 단말/장비 배터리
FR40822,윤하은,현장요원,11170,,,복귀,복귀 중,18.46,2.47,34.0,현장 단말/장비 배터리
DR60340,박현우,드론요원,11170,,,현장,업무 중,32.7,4.66,36.0,드론 배터리
PR28098,박민서,방제요원,11170,,,복귀,복귀 중,25.0,2.61,38.0,현장 단말/장비 배터리
FR14564,서지아,현장요원,11180,,,출동,이동 중,13.05,2.55,46.0,현장 단말/장비 배터리
DR31087,서민준,드론요원,11180,,,복귀,복귀 중,15.95,2.51,49.0,드론 배터리
PR70938,서서현,방제요원,11180,,,대기,즉시 가용,40.31,5.43,93.0,현장 단말/장비 배터리
DR70204,오지아,드론요원,11190,,,출동,이동 중,28.47,4.67,92.0,드론 배터리
PR29672,조민서,방제요원,11190,,,출동,이동 중,13.92,2.47,47.0,현장 단말/장비 배터리
FR11865,황도현,현장요원,11190,,,현장,업무 중,33.44,3.56,28.0,현장 단말/장비 배터리
PR67001,조건우,방제요원,11200,,,복귀,복귀 중,2.43,0.31,47.0,현장 단말/장비 배터리
DR16563,권채원,드론요원,11200,,,복귀,복귀 중,44.46,7.5,32.0,드론 배터리
FR29711,서도윤,현장요원,11200,,,현장,업무 중,0.35,0.07,90.0,현장 단말/장비 배터리
DR47757,박하은,드론요원,11210,,,현장,업무 중,3.74,0.59,66.0,드론 배터리
FR23226,정윤서,현장요원,11210,,,현장,업무 중,5.9,0.73,76.0,현장 단말/장비 배터리
PR47997,김민서,방제요원,11210,,,현장,업무 중,46.11,5.77,90.0,현장 단말/장비 배터리
PR67927,신도현,방제요원,11220,서울특별시,서초구,현장,업무 중,21.26,2.68,46.0,현장 단말/장비 배터리
FR63609,장지호,현장요원,11220,서울특별시,서초구,현장,업무 중,3.04,0.54,33.0,현장 단말/장비 배터리
DR54543,황민서,드론요원,11220,서울특별시,서초구,복귀,복귀 중,31.81,3.33,57.0,드론 배터리
PR91916,최서연,방제요원,11230,,,출동,이동 중,23.43,2.71,44.0,현장 단말/장비 배터리
DR35249,오민준,드론요원,11230,,,현장,업무 중,13.73,2.5,54.0,드론 배터리
FR34598,김윤서,현장요원,11230,,,현장,업무 중,9.96,1.09,58.0,현장 단말/장비 배터리
DR51896,한현우,드론요원,11240,,,복귀,복귀 중,17.32,2.5,59.0,드론 배터리
PR93200,권수아,방제요원,11240,,,대기,즉시 가용,29.76,4.59,60.0,현장 단말/장비 배터리
FR12368,윤민서,현장요원,11240,,,현장,업무 중,35.45,4.33,78.0,현장 단말/장비 배터리
FR64261,정현우,현장요원,11250,,,출동,이동 중,11.3,1.34,49.0,현장 단말/장비 배터리
PR67619,임준우,방제요원,11250,,,현장,업무 중,13.23,1.97,74.0,현장 단말/장비 배터리
DR92709,오건우,드론요원,11250,,,복귀,복귀 중,34.35,4.02,74.0,드론 배터리
PR44406,최예준,방제요원,21010,,,출동,이동 중,37.9,5.99,46.0,현장 단말/장비 배터리
DR96053,오수아,드론요원,21010,,,출동,이동 중,16.99,3.25,61.0,드론 배터리
FR77051,오도현,현장요원,21010,,,대기,즉시 가용,31.46,4.53,100.0,현장 단말/장비 배터리
DR95843,오도윤,드론요원,21020,,,출동,이동 중,2.46,0.3,68.0,드론 배터리
FR80256,윤하은,현장요원,21020,,,현장,업무 중,10.31,1.68,78.0,현장 단말/장비 배터리
PR12767,정민준,방제요원,21020,,,현장,업무 중,40.12,4.37,90.0,현장 단말/장비 배터리
DR43033,이지아,드론요원,21030,부산광역시,동구,대기,즉시 가용,20.59,3.58,44.0,드론 배터리
FR83516,박서현,현장요원,21030,부산광역시,동구,출동,이동 중,8.46,1.58,62.0,현장 단말/장비 배터리
PR62847,박예준,방제요원,21030,부산광역시,동구,출동,이동 중,30.82,4.54,92.0,현장 단말/장비 배터리
DR70000,조하은,드론요원,21040,부산광역시,영도구,복귀,복귀 중,18.45,3.46,46.0,드론 배터리
FR52601,신민준,현장요원,21040,부산광역시,영도구,복귀,복귀 중,30.49,3.56,80.0,현장 단말/장비 배터리
PR12977,박채원,방제요원,21040,부산광역시,영도구,복귀,복귀 중,37.15,7.0,83.0,현장 단말/장비 배터리
DR33567,박건우,드론요원,21050,부산광역시,부산진구,복귀,복귀 중,12.9,2.3,33.0,드론 배터리
FR67659,권민준,현장요원,21050,부산광역시,부산진구,복귀,복귀 중,0.44,0.05,45.0,현장 단말/장비 배터리
PR17678,조수아,방제요원,21050,부산광역시,부산진구,현장,업무 중,28.98,3.13,78.0,현장 단말/장비 배터리
FR95456,한수아,현장요원,21060,부산광역시,동래구,대기,즉시 가용,18.74,3.64,37.0,현장 단말/장비 배터리
DR51039,최지호,드론요원,21060,부산광역시,동래구,현장,업무 중,25.54,4.55,65.0,드론 배터리
PR15847,강채원,방제요원,21060,부산광역시,동래구,대기,즉시 가용,14.54,1.67,75.0,현장 단말/장비 배터리
DR74117,정지아,드론요원,21070,부산광역시,남구,현장,업무 중,30.05,5.07,44.0,드론 배터리
PR70913,최하은,방제요원,21070,부산광역시,남구,복귀,복귀 중,47.82,7.94,44.0,현장 단말/장비 배터리
FR64997,최윤서,현장요원,21070,부산광역시,남구,복귀,복귀 중,48.47,6.42,84.0,현장 단말/장비 배터리
PR49438,윤예준,방제요원,21080,부산광역시,북구,복귀,복귀 중,31.41,5.4,62.0,현장 단말/장비 배터리
DR18800,조서현,드론요원,21080,부산광역시,북구,대기,즉시 가용,0.0,0.0,47.0,드론 배터리
FR77667,이지호,현장요원,21080,부산광역시,북구,출동,이동 중,7.21,1.25,63.0,현장 단말/장비 배터리
FR55955,황서현,현장요원,21090,부산광역시,해운대구,복귀,복귀 중,48.38,8.0,52.0,현장 단말/장비 배터리
DR98250,임수아,드론요원,21090,부산광역시,해운대구,대기,즉시 가용,12.08,2.3,53.0,드론 배터리
PR39351,김채원,방제요원,21090,부산광역시,해운대구,현장,업무 중,25.38,3.22,84.0,현장 단말/장비 배터리
FR17425,이도윤,현장요원,21100,부산광역시,사하구,현장,업무 중,6.34,0.75,16.0,현장 단말/장비 배터리
PR48327,오민서,방제요원,21100,부산광역시,사하구,대기,즉시 가용,6.49,0.91,84.0,현장 단말/장비 배터리
DR42794,박도윤,드론요원,21100,부산광역시,사하구,현장,업무 중,46.92,5.66,90.0,드론 배터리
PR15646,이준우,방제요원,21110,부산광역시,금정구,현장,업무 중,5.54,1.08,48.0,현장 단말/장비 배터리
FR39667,한수아,현장요원,21110,부산광역시,금정구,대기,즉시 가용,8.51,1.01,47.0,현장 단말/장비 배터리
DR45377,한도현,드론요원,21110,부산광역시,금정구,복귀,복귀 중,34.93,6.72,74.0,드론 배터리
DR95890,임건우,드론요원,21120,부산광역시,강서구,출동,이동 중,7.7,1.16,48.0,드론 배터리
PR60470,조건우,방제요원,21120,부산광역시,강서구,현장,업무 중,9.4,1.04,49.0,현장 단말/장비 배터리
FR20225,윤지호,현장요원,21120,부산광역시,강서구,대기,즉시 가용,3.76,0.56,27.0,현장 단말/장비 배터리
PR90868,신지호,방제요원,21130,부산광역시,연제구,복귀,복귀 중,27.99,5.59,48.0,현장 단말/장비 배터리
DR11398,오하은,드론요원,21130,부산광역시,연제구,대기,즉시 가용,9.79,1.33,48.0,드론 배터리
FR33332,신채원,현장요원,21130,부산광역시,연제구,현장,업무 중,1.26,0.17,59.0,현장 단말/장비 배터리
DR64994,정도윤,드론요원,21140,부산광역시,수영구,대기,즉시 가용,41.7,4.67,56.0,드론 배터리
FR72055,황하은,현장요원,21140,부산광역시,수영구,대기,즉시 가용,37.5,6.18,69.0,현장 단말/장비 배터리
PR13779,이채원,방제요원,21140,부산광역시,수영구,출동,이동 중,30.65,5.25,90.0,현장 단말/장비 배터리
PR37111,정서현,방제요원,21150,부산광역시,사상구,대기,즉시 가용,27.61,4.17,45.0,현장 단말/장비 배터리
FR44003,강윤서,현장요원,21150,부산광역시,사상구,현장,업무 중,49.44,8.0,29.0,현장 단말/장비 배터리
DR10873,이지호,드론요원,21150,부산광역시,사상구,출동,이동 중,24.42,4.45,47.0,드론 배터리
FR63790,권수아,현장요원,21510,부산광역시,기장군,현장,업무 중,17.59,3.22,54.0,현장 단말/장비 배터리
DR47359,신도현,드론요원,21510,부산광역시,기장군,현장,업무 중,42.25,7.13,55.0,드론 배터리
PR70138,최하은,방제요원,21510,부산광역시,기장군,출동,이동 중,21.42,2.52,76.0,현장 단말/장비 배터리
DR87912,장준우,드론요원,22010,,,현장,업무 중,1.79,0.2,66.0,드론 배터리
FR53257,장서현,현장요원,22010,,,복귀,복귀 중,32.1,3.45,90.0,현장 단말/장비 배터리
PR54884,윤준우,방제요원,22010,,,복귀,복귀 중,14.76,2.13,100.0,현장 단말/장비 배터리
FR27324,김서연,현장요원,22020,대구광역시,동구,대기,즉시 가용,12.42,1.35,93.0,현장 단말/장비 배터리
DR72970,조예준,드론요원,22020,대구광역시,동구,현장,업무 중,37.98,7.19,49.0,드론 배터리
PR81089,김서현,방제요원,22020,대구광역시,동구,대기,즉시 가용,36.81,4.93,90.0,현장 단말/장비 배터리
DR60361,정윤서,드론요원,22030,대구광역시,서구,현장,업무 중,12.87,1.58,27.0,드론 배터리
FR58608,김민서,현장요원,22030,대구광역시,서구,출동,이동 중,28.18,4.83,39.0,현장 단말/장비 배터리
PR67653,임지아,방제요원,22030,대구광역시,서구,출동,이동 중,33.66,3.89,88.0,현장 단말/장비 배터리
PR85052,권수아,방제요원,22040,대구광역시,남구,출동,이동 중,35.96,6.36,33.0,현장 단말/장비 배터리
FR82521,이서현,현장요원,22040,대구광역시,남구,현장,업무 중,19.41,3.34,86.0,현장 단말/장비 배터리
DR41224,서건우,드론요원,22040,대구광역시,남구,현장,업무 중,6.59,0.67,87.0,드론 배터리
PR79062,장건우,방제요원,22050,대구광역시,북구,현장,업무 중,8.75,1.67,44.0,현장 단말/장비 배터리
FR37041,신채원,현장요원,22050,대구광역시,북구,대기,즉시 가용,37.22,4.44,48.0,현장 단말/장비 배터리
DR46208,서수아,드론요원,22050,대구광역시,북구,현장,업무 중,15.47,1.61,66.0,드론 배터리
FR74985,임건우,현장요원,22060,대구광역시,수성구,현장,업무 중,21.8,4.24,48.0,현장 단말/장비 배터리
DR73941,강지호,드론요원,22060,대구광역시,수성구,현장,업무 중,21.67,3.13,76.0,드론 배터리
PR46842,강지호,방제요원,22060,대구광역시,수성구,현장,업무 중,48.09,5.3,98.0,현장 단말/장비 배터리
DR28426,신도윤,드론요원,22070,대구광역시,달서구,현장,업무 중,30.76,4.01,31.0,드론 배터리
FR76036,권현우,현장요원,22070,대구광역시,달서구,현장,업무 중,46.74,8.0,59.0,현장 단말/장비 배터리
PR65116,신건우,방제요원,22070,대구광역시,달서구,대기,즉시 가용,48.07,7.02,71.0,현장 단말/장비 배터리
DR73595,윤지아,드론요원,22510,대구광역시,달성군,현장,업무 중,33.64,3.7,47.0,드론 배터리
