worker_id,worker_name,worker_type,sigungu_code,sigungu_name,emd_code,emd_name,grid_id,visit_order,priority_grade,risk_grade,estimated_minutes,worker_total_assigned_minutes,worker_capacity_minutes,assignment_status
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,450858,1,최우선 예찰,매우 높음,110.0,110.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,452084,2,최우선 예찰,매우 높음,95.0,205.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,430095,3,최우선 예찰,매우 높음,80.0,285.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,454527,4,최우선 예찰,매우 높음,80.0,365.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,453304,5,최우선 예찰,매우 높음,80.0,445.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,430098,6,최우선 예찰,매우 높음,80.0,525.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,449637,7,최우선 예찰,매우 높음,95.0,620.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,448419,8,최우선 예찰,매우 높음,60.0,680.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,445975,9,최우선 예찰,매우 높음,80.0,760.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,427654,10,최우선 예찰,매우 높음,125.0,885.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,426432,11,최우선 예찰,매우 높음,95.0,980.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,441087,12,최우선 예찰,매우 높음,80.0,1060.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,447195,13,최우선 예찰,매우 높음,95.0,1155.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,438645,14,최우선 예찰,매우 높음,80.0,1235.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,423987,15,최우선 예찰,매우 높음,80.0,1315.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,448416,16,최우선 예찰,매우 높음,80.0,1395.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,447194,17,최우선 예찰,매우 높음,110.0,1505.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,438646,18,최우선 예찰,매우 높음,80.0,1585.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020120,남원읍,445974,19,최우선 예찰,매우 높음,80.0,1665.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020560,영천동,417880,20,최우선 예찰,매우 높음,80.0,1745.0,1800,배정 예정
FR23606,최도윤,현장요원,39020,서귀포시,39020320,표선면,458184,21,우선 예찰,매우 높음,45.0,1790.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,375562,1,최우선 예찰,매우 높음,75.0,75.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,379229,2,최우선 예찰,매우 높음,80.0,155.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,375563,3,최우선 예찰,매우 높음,80.0,235.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,376783,4,최우선 예찰,매우 높음,80.0,315.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,378008,5,최우선 예찰,매우 높음,80.0,395.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,378005,6,최우선 예찰,매우 높음,80.0,475.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,379227,7,최우선 예찰,매우 높음,80.0,555.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,378009,8,최우선 예찰,높음,80.0,635.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,379230,9,최우선 예찰,높음,80.0,715.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,376818,10,우선 예찰,매우 높음,60.0,775.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,373124,11,우선 예찰,매우 높음,45.0,820.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,373118,12,우선 예찰,매우 높음,60.0,880.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,376787,13,우선 예찰,매우 높음,45.0,925.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,374339,14,우선 예찰,매우 높음,60.0,985.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,376789,15,우선 예찰,매우 높음,45.0,1030.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,378003,16,우선 예찰,매우 높음,65.0,1095.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,378015,17,우선 예찰,매우 높음,45.0,1140.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,375593,18,우선 예찰,높음,45.0,1185.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,382893,19,우선 예찰,높음,65.0,1250.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,375594,20,우선 예찰,높음,45.0,1295.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050320,부석면,378011,21,우선 예찰,높음,65.0,1360.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,385336,22,우선 예찰,높음,65.0,1425.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,386560,23,우선 예찰,높음,65.0,1490.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,379231,24,우선 예찰,높음,65.0,1555.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050330,팔봉면,378010,25,우선 예찰,높음,65.0,1620.0,1800,배정 예정
FR29209,권서현,현장요원,34050,서산시,34050310,인지면,381671,26,우선 예찰,주의,65.0,1685.0,1800,배정 예정
