worker_id,user_id,worker_name,organization,department,position_name,phone_masked,home_sido_code,home_sido_name,home_sigungu_code,home_sigungu_name,base_location_name,base_lat,base_lon,experience_years,daily_max_minutes,employment_status,is_dispatchable,dataset_version,data_source,is_sample,import_batch_id,created_at,updated_at
W00001,30002,박하준,서초구 산림관리부서,산림재해대응팀,주무관,010-****-4002,11,서울특별시,11220,서초구,서초구 현장지원 거점,37.461903,127.048433,2,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00002,30003,정하윤,서초구 산림관리부서,현장지원팀,현장대응원,010-****-4003,11,서울특별시,11220,서초구,서초구 현장지원 거점,37.430655,127.074027,3,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00003,30004,조수아,서초구 산림관리부서,산림재해대응팀,현장대응원,010-****-4004,11,서울특별시,11220,서초구,서초구 현장지원 거점,37.41497,127.092137,4,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00004,30005,장준호,서초구 산림관리부서,현장지원팀,주무관,010-****-4005,11,서울특별시,11220,서초구,서초구 현장지원 거점,37.438983,127.091501,5,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00005,30006,한수빈,서초구 산림관리부서,산림재해대응팀,현장대응원,010-****-4006,11,서울특별시,11220,서초구,서초구 현장지원 거점,37.434537,127.076879,6,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00006,30007,서도윤,서초구 산림관리부서,현장지원팀,현장대응원,010-****-4007,11,서울특별시,11220,서초구,서초구 현장지원 거점,37.444956,127.083912,7,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00007,30008,장민준,동구 산림관리부서,산림재해대응팀,주무관,010-****-4008,21,부산광역시,21030,동구,동구 현장지원 거점,35.137655,129.059644,2,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00008,30009,한시우,동구 산림관리부서,현장지원팀,현장대응원,010-****-4009,21,부산광역시,21030,동구,동구 현장지원 거점,35.122829,129.017364,3,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00009,30010,서서연,동구 산림관리부서,산림재해대응팀,현장대응원,010-****-4010,21,부산광역시,21030,동구,동구 현장지원 거점,35.139427,129.033818,4,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00010,30011,권지민,동구 산림관리부서,현장지원팀,주무관,010-****-4011,21,부산광역시,21030,동구,동구 현장지원 거점,35.150025,129.032734,5,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00011,30012,김태현,동구 산림관리부서,산림재해대응팀,현장대응원,010-****-4012,21,부산광역시,21030,동구,동구 현장지원 거점,35.141134,129.040612,6,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00012,30013,박유진,동구 산림관리부서,현장지원팀,현장대응원,010-****-4013,21,부산광역시,21030,동구,동구 현장지원 거점,35.118752,129.021007,7,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
W00013,30014,권준호,영도구 산림관리부서,산림재해대응팀,주무관,010-****-4014,21,부산광역시,21040,영도구,영도구 현장지원 거점,35.073576,129.058584,2,480,ACTIVE,1,3.0,SYNTHETIC,1,WF_V3_ALL_REGIONS_20260718,2026-07-18 08:00:00,2026-07-18 08:00:00
